num,SMILES,HoC
1,C1CC1C2CC2,-3.8861
2,C2CC(C1CCC1)C2,-5.0352
3,C2CCC(C1CCCC1)C2,-6.32826
4,C2CCC(C1CCCCC1)CC2,-7.5899
5,C2CCCC(C1CCCCCC1)CC2,-8.94
6,C2CCCC(C1CCCCCCC1)CCC2,-10.3283
7,C2CCCCC(C1CCCCCCCC1)CCC2,-11.6509
8,C2CCCCC(C1CCCCCCCCC1)CCCC2,-12.9769
9,C2CCCCCC(C1CCCCCCCCCC1)CCCC2,-14.2985
10,C2CCCCCC(C1CCCCCCCCCCC1)CCCCC2,-15.6204
11,C2CCCCCCC(C1CCCCCCCCCCCC1)CCCCC2,-16.9439
12,C2CCCCCCC(C1CCCCCCCCCCCCC1)CCCCCC2,-18.2687
13,C2CCCCCCCC(C1CCCCCCCCCCCCCC1)CCCCCC2,-19.5922
14,C2CCCCCCCC(C1CCCCCCCCCCCCCCC1)CCCCCCC2,-20.9123
15,C2CC(OC1CCC1)C2,-1.2172
16,C2CCC(OC1CCCC1)C2,-1.5336
17,C2CCC(OC1CCCCC1)CC2,-1.8521
18,C2CCCC(OC1CCCCCC1)CC2,-2.1694
19,C2CCCC(OC1CCCCCCC1)CCC2,-2.4994
20,C2CCCCC(OC1CCCCCCCC1)CCC2,-2.8121
21,C2CCCCC(OC1CCCCCCCCC1)CCCC2,-3.1434
22,C2CCCCCC(OC1CCCCCCCCCC1)CCCC2,-3.4587
23,C2CCCCCC(OC1CCCCCCCCCCC1)CCCCC2,-3.7954
24,C2CCCCCCC(OC1CCCCCCCCCCCC1)CCCCC2,-4.1224
25,C2CCCCCCCC(OC1CCCCCCCCCCCCCC1)CCCCCC2,-4.7893
26,C2CCCCCCCC(OC1CCCCCCCCCCCCCCC1)CCCCCCC2,-5.1116
27,C2CC(NC1CCC1)C2,-5.1829
28,C2CCC(NC1CCCC1)C2,-6.5027
29,C2CCC(NC1CCCCC1)CC2,-7.8134
30,C2CCCC(NC1CCCCCC1)CC2,-9.1321
31,C2CCCC(NC1CCCCCCC1)CCC2,-10.4674
32,C2CCCCC(NC1CCCCCCCC1)CCC2,-11.7785
33,C2CCCCC(NC1CCCCCCCCC1)CCCC2,-13.1084
34,C2CCCCCC(NC1CCCCCCCCCC1)CCCC2,-14.4239
35,C2CCCCCC(NC1CCCCCCCCCCC1)CCCCC2,-15.7563
36,C2CCCCCCC(NC1CCCCCCCCCCCC1)CCCCC2,-17.0762
37,C2CCCCCCCC(NC1CCCCCCCCCCCCCC1)CCCCCC2,-19.7263
38,C2CCCCCCCC(NC1CCCCCCCCCCCCCCC1)CCCCCCC2,-21.0452
39,C[C@@H]1C[C@H]1C,-3.366
40,CC1(C)CC1(C)C,-4.63562
41,C[C@@H]1CCC[C@@H](C)C1,-5.219
42,CC[C@@H]1CC[C@@H](C)C1,-5.23874
43,CCCCCC1CC1,-5.021
44,CCC1(C)CCCCC1,-5.87388
45,CCCCCC1CCCC1,-6.6046
46,CCCCCCCCC1CCCCC1,-9.2153
47,CC(C)(C)[C@H]1CC[C@@H](C(C)(C)C)CC1,-9.1454
48,CCCCCCCCCCCCC1CCCCC1,-11.8503
49,CCCCCCCCCCCCCC1CCCC1,-11.8746
50,CCCCCCCCCCCCCCC1CCCC1,-12.5333
51,C1CCCCCCC1,-5.2657
52,C1CCCCCCCCCCCCCCC1,-10.466
53,C1CCCCCCCC1,-5.9314
54,C1CCCCCC1,-4.597
55,C1CCCCCCCCC1,-6.5862
